technology,title,location,type,experience,english,datetime,views,applicants
ML,Trainee Python/Django Developer,Україна,Тільки віддалено,Без досвіду,Upper-Intermediate,2024-01-04,889,191
OOP,Trainee Python/Django Developer,Україна,Тільки віддалено,Без досвіду,Upper-Intermediate,2024-01-04,889,191
JS,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
Data Base,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
SQL,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
Flask,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
PostgreSQL,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
GIT,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
docker,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
REST,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
FastAPI,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
RabbitMQ,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
API,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
AWS,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
AI,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
ML,Python developer,Україна,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-05,54,2
HTML,Python Backend Engineer (Outstaff project),Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,57,5
HTML,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
JS,Python Backend Engineer (Outstaff project),Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,57,5
Data Base,Python Backend Engineer (Outstaff project),Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,57,5
SQL,Python Backend Engineer (Outstaff project),Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,57,5
Django,Python Backend Engineer (Outstaff project),Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,57,5
MySQL,Python Backend Engineer (Outstaff project),Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,57,5
FastAPI,Python Backend Engineer (Outstaff project),Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,57,5
API,Python Backend Engineer (Outstaff project),Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,57,5
AI,Python Backend Engineer (Outstaff project),Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,57,5
ML,Python Backend Engineer (Outstaff project),Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,57,5
OOP,Python Backend Engineer (Outstaff project),Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,57,5
JS,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
SQL,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
Django,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
JQuery,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
PostgreSQL,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
GIT,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
GitHub,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
VueJS,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
docker,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
REST,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
DRF,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
AI,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
ML,Senior/Lead Python Software Engineer,Україна,Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-04,16,1
Data Base,LLM Specialist with Python Knowledge,Україна,Тільки віддалено,1 рік досвіду,,2024-01-05,144,22
MongoDB,LLM Specialist with Python Knowledge,Україна,Тільки віддалено,1 рік досвіду,,2024-01-05,144,22
docker,LLM Specialist with Python Knowledge,Україна,Тільки віддалено,1 рік досвіду,,2024-01-05,144,22
FastAPI,LLM Specialist with Python Knowledge,Україна,Тільки віддалено,1 рік досвіду,,2024-01-05,144,22
API,LLM Specialist with Python Knowledge,Україна,Тільки віддалено,1 рік досвіду,,2024-01-05,144,22
AI,LLM Specialist with Python Knowledge,Україна,Тільки віддалено,1 рік досвіду,,2024-01-05,144,22
ML,LLM Specialist with Python Knowledge,Україна,Тільки віддалено,1 рік досвіду,,2024-01-05,144,22
Data Base,Middle Python Developer,Україна,Office або Remote,2 роки досвіду,Intermediate,2024-01-05,101,37
SQL,Middle Python Developer,Україна,Office або Remote,2 роки досвіду,Intermediate,2024-01-05,101,37
Django,Middle Python Developer,Україна,Office або Remote,2 роки досвіду,Intermediate,2024-01-05,101,37
PostgreSQL,Middle Python Developer,Україна,Office або Remote,2 роки досвіду,Intermediate,2024-01-05,101,37
GIT,Middle Python Developer,Україна,Office або Remote,2 роки досвіду,Intermediate,2024-01-05,101,37
MongoDB,Middle Python Developer,Україна,Office або Remote,2 роки досвіду,Intermediate,2024-01-05,101,37
REST,Middle Python Developer,Україна,Office або Remote,2 роки досвіду,Intermediate,2024-01-05,101,37
API,Middle Python Developer,Україна,Office або Remote,2 роки досвіду,Intermediate,2024-01-05,101,37
AI,Middle Python Developer,Україна,Office або Remote,2 роки досвіду,Intermediate,2024-01-05,101,37
Algorithms,Middle Python Developer,Україна,Office або Remote,2 роки досвіду,Intermediate,2024-01-05,101,37
SQL,Junior Python Developer,Україна,Office або Remote,1 рік досвіду,Upper-Intermediate,2024-01-04,726,224
Flask,Junior Python Developer,Україна,Office або Remote,1 рік досвіду,Upper-Intermediate,2024-01-04,726,224
docker,Junior Python Developer,Україна,Office або Remote,1 рік досвіду,Upper-Intermediate,2024-01-04,726,224
NoSQL,Junior Python Developer,Україна,Office або Remote,1 рік досвіду,Upper-Intermediate,2024-01-04,726,224
Celery,Junior Python Developer,Україна,Office або Remote,1 рік досвіду,Upper-Intermediate,2024-01-04,726,224
API,Junior Python Developer,Україна,Office або Remote,1 рік досвіду,Upper-Intermediate,2024-01-04,726,224
AI,Junior Python Developer,Україна,Office або Remote,1 рік досвіду,Upper-Intermediate,2024-01-04,726,224
ML,Junior Python Developer,Україна,Office або Remote,1 рік досвіду,Upper-Intermediate,2024-01-04,726,224
Pytest,Junior Python Developer,Україна,Office або Remote,1 рік досвіду,Upper-Intermediate,2024-01-04,726,224
Data Base,Python (Django) Developer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,171,31
Data Base,Senior Python Engineer (Integrations),"Вірменія, Грузія, Польща, Україна",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-04,60,13
Django,Python (Django) Developer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,171,31
REST,Python (Django) Developer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,171,31
API,Python (Django) Developer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,171,31
AI,Python (Django) Developer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,171,31
OOP,Python (Django) Developer,Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,171,31
SQL,Senior Python Engineer (Integrations),"Вірменія, Грузія, Польща, Україна",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-04,60,13
Django,Senior Python Engineer (Integrations),"Вірменія, Грузія, Польща, Україна",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-04,60,13
docker,Senior Python Engineer (Integrations),"Вірменія, Грузія, Польща, Україна",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-04,60,13
